immatriculation;numero_de_serie;marque;modele;date_debut;date_fin
S-ULR-295;032244015156;JOYOR;Adulte Joyor S5 Noir;2022-08-14;2024-04-05
S-TYG-054;063928272086;RAZOR;Power Core E100 -Enfant;2023-12-28;2025-08-19
S-VHV-600;056807577411;ECO FLYING;"H100 350W-36V-10Ah (360Wh) - roue 20""";2025-05-11;2027-01-01
S-STM-700;049704809289;XIAOMI;Xiaomi 4 GO;2024-09-27;2026-05-20
S-ZXG-426;083148941310;XIAOMI;Xiaomi 4 GO;2024-09-08;2026-05-01
S-AAK-056;012923304907;UNAGI;Unagi Dual Motor;2023-01-17;2024-09-08
S-DRZ-104;065996838450;RED6;pliable - RED6 85 SPARROW - Vitesse Max 25 Km - Batterie;2024-10-05;2026-05-28
S-GOW-767;018407178019;YEEP.ME;yeep.me 100s ROLAND GARROS - 60km - Édition limitée;2025-05-22;2027-01-12
S-XOT-732;022250632707;JOYOR;Adulte Joyor S10-S Noir;2022-11-29;2024-07-21
S-YFM-249;043196180716;WEEBOT;Inoe Sweemie 2;2024-12-28;2026-08-20
S-ULE-094;025865685111;SEGWAY-NINEBOT;Ninebot F2;2025-09-01;2027-04-24
S-WCX-358;061330042914;YEEP.ME;85 Signature - Autonomie 35km - AVEC CLIGNOTANTS;2025-04-25;2026-12-16
S-NLP-876;021127608502;BOHLT;Bohlt EKICK 10 Air Scooter électrique;2025-10-09;2027-06-01
S-SHW-554;056720136768;JOYOR;Joyor Y10 blanche;2023-07-20;2025-03-11
S-TDM-197;011098380724;XIAOMI;Xiaomi Mi 3;2022-11-27;2024-07-19
S-FHE-116;055431293207;JOYOR;Adulte Joyor X5S Noir;2025-05-06;2026-12-27
S-SOE-226;029668610711;JOYOR;Joyor Y10 blanche;2024-03-31;2025-11-21
S-FFF-788;064053476167;SEGWAY-NINEBOT;SEGWAY Ninebot P65E;2022-11-16;2024-07-08
S-PDF-875;032032603263;JOYOR;Adulte Joyor F3 Blanc;2024-02-25;2025-10-17
S-ETU-107;082322865145;KUGOO;Kugoo S1 pro pour enfants et adultes;2022-09-28;2024-05-20
S-WKU-604;027658792954;JOYOR;Adulte Joyor X5S Noir;2023-03-14;2024-11-03
S-BCK-557;097119019825;YEEP.ME;85 Signature - Autonomie 35km - AVEC CLIGNOTANTS;2023-10-01;2025-05-23
S-YDH-095;079206959613;XIAOMI;Xiaomi 4 Lite;2023-06-07;2025-01-27
S-PSY-872;001829611822;JOYOR;adulte Joyor Y5S blanche;2025-10-09;2027-06-01
S-OYP-160;098720690061;YEEP.ME;100C Signature- Autonomie 50km - avec clignotants;2022-08-13;2024-04-04
S-BHP-186;067504451986;YEEP.ME;yeep.me 100s ROLAND GARROS - 60km - Édition limitée;2023-08-17;2025-04-08
S-ORT-030;098550344850;JOYOR;Adulte Joyor GS5 Noir;2022-12-15;2024-08-06
S-BSL-275;076219047498;TO.TEM;LYNX - 3 ROUES - CAMÉRA POSTERIEURE;2023-09-02;2025-04-24
S-KMY-359;041192004656;WISPEED;WISPEED T850 V2;2023-04-13;2024-12-03
S-SXR-297;059826052748;JOYOR;Joyor Y10 blanche;2022-12-31;2024-08-22
S-OAG-800;045544625152;JOYOR;Adulte Joyor Y10 Noir;2024-10-27;2026-06-19
S-FRQ-823;051823324849;RAZOR;Power Core E100 -Enfant;2024-08-04;2026-03-27
S-YGI-720;037143295669;MOTUS;"Motus Scooty 8.5"", Puissance 350W, Batterie 7.8Ah";2025-05-18;2027-01-08
S-VFW-577;045979217743;NIU;Niu KQi3 Sport scooter électrique 365Wh 25 km rouge;2025-03-21;2026-11-11
S-VKV-277;049984003251;YEEP.ME;"yeep.me 80n - 13kg - 8"" 7,8Ah 30km";2024-04-20;2025-12-11
S-BPI-995;077483597582;YEEP.ME;"100 La routière 10"" - Autonomie 50km - Ultra équipée";2025-08-01;2027-03-24
S-RCA-086;016133870164;RAZOR;Power Core E100 -Enfant;2024-05-29;2026-01-19
S-BXN-776;020143108742;TO.TEM;LYNX - 3 ROUES - CAMÉRA POSTERIEURE;2023-04-30;2024-12-20
S-BRU-346;089038483840;KUGOO;Kugoo S1 pro pour enfants et adultes;2022-08-09;2024-03-31
S-YVO-635;015089666548;KUGOO;Kugoo S1 pro pour enfants et adultes;2023-12-21;2025-08-12
S-RHY-411;099735825070;WINDGOO;Windgoo M20 pour enfants et adultes;2022-08-14;2024-04-05
S-SMF-610;008913949109;YEEP.ME;"100 La routière 10"" - Autonomie 50km - Ultra équipée";2024-02-21;2025-10-13
S-MRW-315;019708320620;SUOTU;Suotu R1 PRO pour adultes;2025-06-02;2027-01-23
S-CYC-808;064465665826;SEGWAY-NINEBOT;Kickscooter F2 E - Step Adultes - Vitesse Maximale:25km - Autonomie:40km;2024-11-11;2026-07-04
S-VQI-810;032450848833;BOHLT;Pliable eKick TD9 - Noir;2023-03-05;2024-10-25
S-CSK-385;035021879443;WINDGOO;Windgoo M20 pour enfants et adultes;2025-04-28;2026-12-19
S-FET-995;070240081972;JOYOR;Adulte Joyor S10-S Noir;2025-01-31;2026-09-23
S-QDT-616;012663928765;XIAOMI;NOUVEAUTÉ Xiaomi Scooter 4 Ultra;2025-05-22;2027-01-12
S-CDU-069;048101190962;SEGWAY-NINEBOT;Ninebot F2;2024-02-19;2025-10-11
S-PEV-369;060517738979;UNAGI;Unagi Dual Motor;2024-11-05;2026-06-28
S-NEH-156;049022071444;BOHLT;pliable - eKick 10 PRO - Noir;2024-03-23;2025-11-13
S-DVJ-038;078491917737;TO.TEM;LYNX - 3 ROUES;2025-08-12;2027-04-04
S-EJX-694;027362476972;SEGWAY-NINEBOT;Ninebot F2;2022-09-17;2024-05-09
S-BQW-419;054011085488;JOYOR;Adulte Joyor GS5 Noir;2023-07-18;2025-03-09
S-NJN-021;013078417358;JOYOR;adulte Joyor Y5S blanche;2024-10-16;2026-06-08
S-URQ-572;038832793402;SIVER;"Motus Siver City Yellow 250 W 20 km/h, 250 W, 8""";2024-04-18;2025-12-09
S-GJB-983;080027924054;RED6;pliable - RED6 85 SPARROW - Vitesse Max 25 Km - Batterie;2022-09-27;2024-05-19
S-OLN-313;097368833203;JOYOR;Adulte Joyor GS5 Noir;2024-09-23;2026-05-16
S-PUJ-868;045203326560;SUOTU;Suotu R1 PRO pour adultes;2025-02-02;2026-09-25
S-FJW-605;055058357691;BOHLT;pliable - eKick 10 PRO - Noir;2025-07-07;2027-02-27
S-ZBF-212;062124503934;YEEP.ME;YEEP.ME 100a sport - 10'' 750W 55km - Garantie 5 ans;2022-12-18;2024-08-09
S-RFG-166;043085975500;JOYOR;Adulte Joyor Y10 Noir;2024-07-31;2026-03-23
S-WAU-757;044765471550;SEGWAY-NINEBOT;KickScooter MAX G2 E- Pas Adultes - Vitesse maximale: 25km - Rayon: 70km;2025-09-17;2027-05-10
S-SLK-166;097520223891;YEEP.ME;85 Signature - Autonomie 35km - AVEC CLIGNOTANTS;2024-04-19;2025-12-10
S-RKD-296;086800703575;MOTUS;"Motus Scooty 8.5"", Puissance 350W, Batterie 7.8Ah";2023-01-22;2024-09-13
S-NLZ-416;013580962584;MOTUS;"Motus Scooty 8.5"", Puissance 350W, Batterie 7.8Ah";2025-02-23;2026-10-16
S-LFT-054;093577930351;SUOTU;Suotu R1 PRO pour adultes;2024-10-21;2026-06-13
S-RFS-645;064068899819;NAVEE;Scooter électrique Navee N65 Noir;2023-01-01;2024-08-23
S-EOO-277;073063513461;BOHLT;Pliable eKick TD9 - Noir;2023-01-17;2024-09-08
S-KOB-056;051404755299;OKAI;Scooter électrique à pédale Okai ES20 Blanc;2025-03-02;2026-10-23
S-FRP-582;037790916083;NIU;Niu KQi2 Pro scooter électrique 365Wh 25 km blanc;2024-08-10;2026-04-02
S-KBR-919;058165263450;WEEBOT;Inoe Sweemie 2;2023-06-20;2025-02-09
S-ZLN-315;057341697149;RAZOR;Power Core E100 -Enfant;2023-05-24;2025-01-13
S-YGP-980;071622878748;TO.TEM;LYNX - 3 ROUES - CAMÉRA POSTERIEURE;2024-11-04;2026-06-27
S-XJS-052;034801519154;WEELING;"S9 800W-48V-13Ah (624Wh) - roue 10""";2025-01-25;2026-09-17
S-GAL-924;044213701394;JOYOR;Adulte Joyor F3 Blanc;2023-03-10;2024-10-30
S-AJT-006;080343606831;JOYOR;Joyor Y10 blanche;2025-03-21;2026-11-11
S-ODT-170;035641044560;YEEP.ME;"100 La routière 10"" - Autonomie 50km - Ultra équipée";2025-08-24;2027-04-16
S-IWL-415;085023532143;SEGWAY-NINEBOT;Ninebot F2 Pro E;2022-08-30;2024-04-21
S-KZC-945;087676635900;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2024-12-22;2026-08-14
S-XIZ-508;044492064563;JOYOR;Adulte Joyor Y10 Noir;2023-09-23;2025-05-15
S-FPK-394;075185772394;NIU;Niu KQi3 Sport scooter électrique 365Wh noir;2024-01-16;2025-09-07
S-LLY-455;041687104796;BOHLT;pliable - eKick 10 PRO - Noir;2023-04-07;2024-11-27
S-YUN-648;055574021363;YEEP.ME;85 Signature - Autonomie 35km - AVEC CLIGNOTANTS;2024-07-30;2026-03-22
S-ESC-829;007309505503;XIAOMI;Xiaomi 4 GO;2023-09-02;2025-04-24
S-GGM-342;079715427638;NAVEE;Navee V40 scooter électrique 280Wh 25 km noir;2024-03-05;2025-10-26
S-QSB-464;088102933067;SEGWAY-NINEBOT;Ninebot F2 Pro E;2024-03-21;2025-11-11
S-EAU-243;020808842826;RAZOR;Power Core E100 -Enfant;2025-06-15;2027-02-05
S-FFI-823;071307950978;WINDGOO;Windgoo M20 pour enfants et adultes;2024-03-24;2025-11-14
S-PNO-555;090687291143;JOYOR;Adulte Joyor G5 Noir;2024-07-10;2026-03-02
S-ETK-624;086985507613;OKAI;Scooter électrique à pédale Okai ES20 Blanc;2023-11-11;2025-07-03
S-FXM-612;024330594407;JIVR;JIVR PLUS avec moteur 230W et triple système de freinage;2023-03-01;2024-10-21
S-GQW-495;002803517909;OKAI;Scooter électrique Okai ES20 Noir;2024-09-17;2026-05-10
S-PZP-509;003721530756;NIU;Niu KQi3 Sport scooter électrique 365Wh 25 km rouge;2024-04-04;2025-11-25
S-LPU-845;019935539357;SUOTU;Suotu M5 pour enfants et adultes;2025-03-09;2026-10-30
S-XTI-864;077929651546;JOYOR;adulte Joyor Y5S blanche;2023-06-12;2025-02-01
S-SSJ-148;044247641327;XIAOMI;Xiaomi Mi 3;2025-10-12;2027-06-04
S-JQR-138;087646913680;NAVEE;Navee V50 scooter électrique 374Wh 25 km guidon pliant noir;2024-05-25;2026-01-15
S-KSR-900;008241414254;YEEP.ME;"yeep.me 80n - 13kg - 8"" 7,8Ah 30km";2022-10-12;2024-06-03
S-DQG-880;031257521108;SEGWAY-NINEBOT;Ninebot F2 Plus;2023-10-31;2025-06-22
S-QQI-996;076297649875;WEELING;"S9 800W-48V-13Ah (624Wh) - roue 10""";2024-08-06;2026-03-29
S-ATI-663;057913373541;WISPEED;Wispeed T865;2023-10-03;2025-05-25
S-LPS-322;009438090783;SHARP;Sharp KS1AEU-B Scooter électrique avec écran intégré et contrôle par application;2022-09-21;2024-05-13
S-OBV-004;001038819808;OKAI;Scooter électrique à pédale Okai ES20 Blanc;2025-10-24;2027-06-16
S-WBS-934;073974673850;YEEP.ME;YEEP.ME 100a sport - 10'' 750W 55km - Garantie 5 ans;2024-12-19;2026-08-11
S-GRL-192;068096835553;JOYOR;Adulte Joyor S10-S Noir;2024-12-09;2026-08-01
S-GAL-428;073632387741;OXELO;Decathlon R900E;2022-08-17;2024-04-08
S-FZJ-509;023242105334;SEGWAY-NINEBOT;Ninebot F2;2024-08-30;2026-04-22
S-COI-468;099336581247;RED6;pliable - RED6 85 SPARROW - Vitesse Max 25 Km - Batterie;2023-08-10;2025-04-01
S-JFD-942;034556663868;SUOTU;Suotu R1 PRO pour adultes;2024-10-15;2026-06-07
S-XDS-589;042908735778;OKAI;Scooter électrique Okai ES20 Noir;2024-09-23;2026-05-16
S-MZU-967;021441200462;OKAI;Scooter électrique Okai ES20 Noir;2024-12-23;2026-08-15
S-MTU-915;028603369169;JOYOR;Joyor Y10 blanche;2023-01-14;2024-09-05
S-MWV-077;047406314746;SEGWAY-NINEBOT;SEGWAY Ninebot P65E;2023-10-16;2025-06-07
S-FTW-569;053311746269;JOYOR; Adulte Joyor F1 Noir;2023-01-19;2024-09-10
S-GPV-222;079732390569;JOYOR;Adulte Joyor G5 Noir;2023-08-03;2025-03-25
S-TEB-834;058024072941;WEELING;"S9 800W-48V-13Ah (624Wh) - roue 10""";2023-06-21;2025-02-10
S-CZC-372;046198635206;UNAGI;Unagi Dual Motor;2025-01-10;2026-09-02
S-WJJ-954;061053157439;JIVR;JIVR PLUS avec moteur 230W et triple système de freinage;2023-05-02;2024-12-22
S-MMX-192;013498784606;RAZOR;Power Core E100 -Enfant;2023-09-19;2025-05-11
S-DLT-956;077287077371;WISPEED;WISPEED T850 V2;2022-12-30;2024-08-21
S-MJV-572;023023583039;OKAI;OKAI NEON LITE ES10 - BLACK;2023-08-07;2025-03-29
S-SOC-882;055942629403;JOYOR;Adulte Joyor X5S Noir;2022-12-07;2024-07-29
S-SGZ-761;071438731463;NIU;Niu KQi3 Sport scooter électrique 365Wh 25 km blanc;2025-02-23;2026-10-16
S-XNN-038;009631950057;BOHLT;pliable - eKick 10 PRO - Noir;2024-02-28;2025-10-20
S-QBW-257;084293821831;MOTUS;Motus Scooty 10 2023, 350 W, 20 km/h, clignotants;2025-04-17;2026-12-08
S-UKH-292;016013421344;SHARP;Sharp KS1AEU-B Scooter électrique avec écran intégré et contrôle par application;2024-03-08;2025-10-29
S-ZEH-704;045161864832;JOYOR;adulte Joyor Y5S blanche;2022-12-07;2024-07-29
S-YSO-387;014641980459;RAZOR;Power Core E100 -Enfant;2023-06-20;2025-02-09
S-YDE-044;078350839619;NAVEE;Navee V50 scooter électrique 374Wh 25 km guidon pliant noir;2025-10-02;2027-05-25
S-XWF-504;053577984071;SEGWAY-NINEBOT;Ninebot F2 Plus;2023-06-04;2025-01-24
S-YRV-870;020229074716;MOTUS;"Motus Scooty 8.5"", Puissance 350W, Batterie 7.8Ah";2023-12-01;2025-07-23
S-GKP-865;041382184365;SUOTU;Suotu R1 PRO pour adultes;2023-07-16;2025-03-07
S-WGJ-751;098227685822;SUOTU;Suotu R1 pour adultes;2024-08-01;2026-03-24
S-ASL-766;067602336901;JIVR;JIVR avec moteur 230W et triple système de freinage;2025-03-08;2026-10-29
S-VXG-286;030774643942;NIU;Niu KQi3 Sport scooter électrique 365Wh 25 km blanc;2024-07-27;2026-03-19
S-QPC-205;014673427190;UNAGI;Unagi Dual Motor;2024-08-25;2026-04-17
S-VZR-973;016595262237;TO.TEM;LYNX - 3 ROUES;2024-03-05;2025-10-26
S-FBP-288;008437444154;RAZOR;Power Core E100 -Enfant;2023-03-19;2024-11-08
S-JAW-577;029452952973;JOYOR;Adulte Joyor F3;2024-06-18;2026-02-08
S-VRE-829;082211243372;SUOTU;Suotu R1 pour adultes;2025-11-09;2027-07-02
S-YLW-497;046365945025;YEEP.ME;YEEP.ME 85a start - 8.5'' 350W 20km - Garantie 5 ans;2023-05-17;2025-01-06
S-YWS-725;018080215400;VOLANS;adulte - e step;2023-01-01;2024-08-23
S-ZKP-040;005703690672;SUOTU;Suotu R1 PRO pour adultes;2023-08-26;2025-04-17
S-DYK-066;053993944925;BOHLT;pliable - eKick 10 PRO - Noir;2023-11-06;2025-06-28
S-AHL-102;007347749086;YEEP.ME;85 Signature - Autonomie 35km - AVEC CLIGNOTANTS;2023-08-10;2025-04-01
S-YJL-927;044371840896;XIAOMI;Xiaomi 4 GO;2023-01-31;2024-09-22
S-GLS-413;053206371935;SHARP;Sharp KS1AEU-B Scooter électrique avec écran intégré et contrôle par application;2023-05-14;2025-01-03
S-HNK-644;030624501382;SUOTU;Suotu rytigo 6;2024-11-23;2026-07-16
S-HGY-404;097768655442;YEEP.ME;YEEP.ME 100a start - 10'' 500W 30km - Garantie 5 ans;2023-02-07;2024-09-29
S-FCR-618;077094400434;SUOTU;Suotu R1 PRO pour adultes;2025-08-17;2027-04-09
S-LUL-665;018609483363;XIAOMI;Xiaomi Scooter 4;2022-08-28;2024-04-19
S-SMB-876;004226517083;ECO FLYING;"H100 350W-36V-10Ah (360Wh) - roue 20""";2023-10-21;2025-06-12
S-EWH-293;052186572535;JOYOR;Adulte Joyor Y10 Noir;2025-09-02;2027-04-25
S-LUT-227;084607854370;OKAI;OKAI NEON LITE ES10 - BLACK;2022-09-14;2024-05-06
S-BOG-699;039161126572;TO.TEM;LYNX - 3 ROUES;2024-12-27;2026-08-19
S-EYY-367;091884679968;PRIXTON;Eco Tour PRIXTON|Vitesse 24 km/h|Angle d'ascension de 15º;2022-11-16;2024-07-08
S-OAH-012;069696787188;NIU;Niu KQi3 Sport scooter électrique 365Wh noir;2025-06-08;2027-01-29
S-MJL-439;002934505341;WINDGOO;Windgoo M20 pour enfants et adultes;2022-11-17;2024-07-09
S-WMV-743;021803141438;JOYOR; Adulte Joyor F1 Noir;2023-12-30;2025-08-21
S-THG-739;023433455892;JOYOR;Adulte Joyor G5 Noir;2025-07-23;2027-03-15
S-MXG-018;041305584501;NIU;Niu KQi2 Pro scooter électrique 365Wh 25 km blanc;2025-11-13;2027-07-06
S-CBC-876;098915119443;NIU;Niu KQi3 Sport scooter électrique 365Wh noir;2024-04-01;2025-11-22
S-ODA-955;088189489199;YEEP.ME;"100 La routière 10"" - Autonomie 50km - Ultra équipée";2022-10-26;2024-06-17
S-GKT-682;079546161105;MOTUS;Motus Scooty 10 2023, 350 W, 20 km/h, clignotants;2023-12-04;2025-07-26
S-SNW-517;028959826187;RAZOR;Power Core E100 -Enfant;2023-07-23;2025-03-14
S-EPL-067;082510462896;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2023-08-17;2025-04-08
S-OGJ-838;057285110289;JOYOR;Adulte Joyor F3;2025-02-04;2026-09-27
S-LXI-241;069218782835;JOYOR;Adulte Joyor F3;2025-09-13;2027-05-06
S-EFL-401;056244265773;SEGWAY-NINEBOT;KickScooter MAX G2 E- Pas Adultes - Vitesse maximale: 25km - Rayon: 70km;2023-10-30;2025-06-21
S-SPQ-778;013941055596;SEGWAY-NINEBOT;Ninebot F2;2023-05-04;2024-12-24
S-WCR-727;032545185884;SHARP;Sharp KS1AEU-B Scooter électrique avec écran intégré et contrôle par application;2025-10-02;2027-05-25
S-YSS-333;057517020768;ECO FLYING;"H100 350W-36V-10Ah (360Wh) - roue 20""";2023-08-29;2025-04-20
S-KYW-516;082614000148;RED6;pliable - RED6 85 SPARROW - Vitesse Max 25 Km - Batterie;2022-08-25;2024-04-16
S-OSO-211;045452302607;OKAI;OKAI NEON LITE ES10 - BLACK;2022-11-13;2024-07-05
S-JEC-556;013434925510;SEGWAY-NINEBOT;Kickscooter F2 E - Step Adultes - Vitesse Maximale:25km - Autonomie:40km;2025-05-30;2027-01-20
S-CBX-711;022702151138;BOHLT;pliable - eKick 10 PRO - Noir;2022-11-05;2024-06-27
S-VLA-326;014758209972;WISPEED;Wispeed T865;2023-03-19;2024-11-08
S-BFM-123;077136442067;SEGWAY-NINEBOT;SEGWAY Ninebot GT1E    2;2024-04-24;2025-12-15
S-FWE-039;085410501317;NIU;Niu KQi3 Sport scooter électrique 365Wh noir;2024-07-06;2026-02-26
S-CKU-849;017817430628;SUOTU;Suotu rytigo 6;2024-12-08;2026-07-31
S-LOB-247;046512951255;YEEP.ME;"100 La routière 10"" - Autonomie 50km - Ultra équipée";2025-03-09;2026-10-30
S-DVO-630;067518238081;SIVER;"Motus Siver City 20 km/h, 250 W, 8""";2025-10-26;2027-06-18
S-NUE-737;055746831258;JIVR;JIVR avec moteur 230W et triple système de freinage;2024-09-13;2026-05-06
S-MUS-993;022493691675;XIAOMI;Xiaomi 4 GO;2023-01-25;2024-09-16
S-GDY-568;082363780899;SEGWAY-NINEBOT;Ninebot F2;2025-08-05;2027-03-28
S-DYT-694;027276444723;KUGOO;Kugoo S1 pro pour enfants et adultes;2024-01-13;2025-09-04
S-GRE-624;078302981793;SEGWAY-NINEBOT;KickScooter MAX G2 E- Pas Adultes - Vitesse maximale: 25km - Rayon: 70km;2025-03-23;2026-11-13
S-XZR-862;079943340644;JOYOR; Adulte Joyor F1 Noir;2023-07-31;2025-03-22
S-JTY-095;037309348643;BOHLT;Pliable eKick TD9 - Noir;2024-04-27;2025-12-18
S-IEY-903;089226534907;YEEP.ME;85 Signature - Autonomie 35km - AVEC CLIGNOTANTS;2022-11-07;2024-06-29
S-HJL-110;063681049691;SEGWAY-NINEBOT;Kickscooter F2 E - Step Adultes - Vitesse Maximale:25km - Autonomie:40km;2023-07-27;2025-03-18
S-DEZ-821;018161034975;JIVR;JIVR PLUS avec moteur 230W et triple système de freinage;2023-07-11;2025-03-02
S-QRB-603;015440809505;JOYOR;Adulte Joyor GS5 Noir;2024-01-29;2025-09-20
S-CZL-052;034073889625;SEGWAY-NINEBOT;Kickscooter F2 E - Step Adultes - Vitesse Maximale:25km - Autonomie:40km;2023-01-23;2024-09-14
S-RUG-867;063092344206;XIAOMI;NOUVEAUTÉ Xiaomi Scooter 4 Ultra;2023-04-07;2024-11-27
S-PDS-065;013942007087;NAVEE;Navee V50 scooter électrique 374Wh 25 km guidon pliant noir;2023-01-06;2024-08-28
S-EFY-090;024412595261;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2024-07-07;2026-02-27
S-QTO-277;023416432675;JOYOR;Adulte Joyor S10-S Noir;2024-12-26;2026-08-18
S-IQF-309;069435042378;JOYOR;Adulte Joyor F5S+ Noir;2022-11-25;2024-07-17
S-SAI-131;057827884525;SEGWAY-NINEBOT;KickScooter MAX G2 E- Pas Adultes - Vitesse maximale: 25km - Rayon: 70km;2022-08-05;2024-03-27
S-LCY-629;056077627994;TO.TEM;LYNX - 3 ROUES - CAMÉRA POSTERIEURE;2025-06-24;2027-02-14
S-KVK-320;009521605591;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2023-12-09;2025-07-31
S-YLI-689;032991355351;SIVER;"Motus Siver City Red 250 W 20 km/h, 250 W, 8""";2022-12-28;2024-08-19
S-PPR-600;079631320772;SEGWAY-NINEBOT;SEGWAY Ninebot P65E;2025-06-14;2027-02-04
S-VSL-196;004594131353;JOYOR;Adulte Joyor GS5 Noir;2022-10-31;2024-06-22
S-HKB-017;035296956367;VOLANS;adulte - e step;2022-11-26;2024-07-18
S-JRR-198;008683669690;NIU;Niu KQi3 Sport scooter électrique 365Wh 25 km rouge;2025-08-31;2027-04-23
S-JTH-721;068887498076;NIU;Niu KQi2 Pro scooter électrique 365Wh 25 km blanc;2024-11-13;2026-07-06
S-HGU-801;047152974720;UNAGI;Unagi Dual Motor;2023-06-11;2025-01-31
S-VTP-517;082731199567;SIVER;"Motus Siver City Red 250 W 20 km/h, 250 W, 8""";2025-01-29;2026-09-21
S-XQT-081;062428562415;YEEP.ME;yeep.me 100s ROLAND GARROS - 60km - Édition limitée;2023-01-07;2024-08-29
S-BKW-991;007458286345;JOYOR;Adulte Joyor S5 Noir;2023-11-15;2025-07-07
S-DKZ-996;095504353380;XIAOMI;Xiaomi Scooter 4;2025-08-06;2027-03-29
S-OWX-606;008749280600;SEGWAY-NINEBOT;Kickscooter F2 E - Step Adultes - Vitesse Maximale:25km - Autonomie:40km;2024-10-01;2026-05-24
S-HQC-236;006974501117;XIAOMI;Xiaomi Mi 3;2024-04-01;2025-11-22
S-KDA-195;041696626559;OKAI;Scooter électrique Okai ES20 Noir;2024-04-12;2025-12-03
S-HJR-449;012079644267;SUOTU;Suotu rytigo 6;2022-10-27;2024-06-18
S-QCV-603;049969059794;JOYOR;Adulte Joyor GS5 Noir;2025-08-06;2027-03-29
S-RNZ-013;014238264403;JOYOR;Adulte Joyor S5 Noir;2022-09-07;2024-04-29
S-UPE-382;074544929758;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2025-07-03;2027-02-23
S-AJG-489;078403068515;SEGWAY-NINEBOT;KickScooter MAX G2 E- Pas Adultes - Vitesse maximale: 25km - Rayon: 70km;2024-12-05;2026-07-28
S-VPK-555;080618208695;SUOTU;Suotu R1 pour adultes;2023-04-26;2024-12-16
S-IBH-371;051656221770;YEEP.ME;YEEP.ME 85a start - 8.5'' 350W 20km - Garantie 5 ans;2024-03-16;2025-11-06
S-DTW-569;040649303099;KUGOO;Kugoo S1 pro pour enfants et adultes;2025-04-24;2026-12-15
S-ZGN-461;096026098853;YEEP.ME;yeep.me 100s ROLAND GARROS - 60km - Édition limitée;2025-05-05;2026-12-26
S-GPJ-223;034461789273;TO.TEM;LYNX - 3 ROUES;2025-07-29;2027-03-21
S-PKR-508;080620641162;NIU;Niu KQi2 Pro scooter électrique 365Wh 25 km blanc;2025-05-30;2027-01-20
S-ITM-127;076996646486;XIAOMI;Xiaomi 4 GO;2023-07-11;2025-03-02
S-DXV-337;024687738544;WISPEED;WISPEED T850 V2;2024-01-30;2025-09-21
S-DZE-891;044121542733;OXELO;Decathlon R900E;2023-07-19;2025-03-10
S-JXH-234;078479198442;TO.TEM;LYNX - 3 ROUES;2024-04-15;2025-12-06
S-XBF-341;069849104799;JOYOR;Adulte Joyor S5 Noir;2024-12-10;2026-08-02
S-ZMW-721;050863716328;JOYOR; Adulte Joyor F1 Noir;2024-10-22;2026-06-14
S-WJL-657;064694966694;YEEP.ME;YEEP.ME 100a start - 10'' 500W 30km - Garantie 5 ans;2025-07-05;2027-02-25
S-BZW-077;050451755141;MOTUS;"Motus Scooty 8.5"", Puissance 350W, Batterie 7.8Ah";2022-10-04;2024-05-26
S-DLG-248;091364527712;SEGWAY-NINEBOT;Kickscooter F2 E - Step Adultes - Vitesse Maximale:25km - Autonomie:40km;2023-07-10;2025-03-01
S-SHF-116;068909660888;RAZOR;Power Core E100 -Enfant;2025-07-02;2027-02-22
S-VMH-208;078355198469;YEEP.ME;yeep.me 100s ROLAND GARROS - 60km - Édition limitée;2024-02-21;2025-10-13
S-RGY-400;032477947131;SEGWAY-NINEBOT;SEGWAY Ninebot P65E;2025-01-12;2026-09-04
S-CJJ-393;068024081544;SIVER;"Motus Siver City 20 km/h, 250 W, 8""";2023-11-15;2025-07-07
S-HUT-069;011384888908;SUOTU;Suotu M5 pour enfants et adultes;2024-05-20;2026-01-10
S-TQO-234;086784635761;TO.TEM;LYNX - 3 ROUES - CAMÉRA POSTERIEURE;2025-08-06;2027-03-29
S-JAH-031;076679084842;SIVER;"Motus Siver City Yellow 250 W 20 km/h, 250 W, 8""";2023-12-11;2025-08-02
S-TLO-150;033931098204;YEEP.ME;85 Signature - Autonomie 35km - AVEC CLIGNOTANTS;2023-02-04;2024-09-26
S-ZEK-108;039477511419;TO.TEM;LYNX - 3 ROUES - CAMÉRA POSTERIEURE;2022-09-06;2024-04-28
S-QKJ-584;032590284685;OKAI;Scooter électrique Okai ES20 Noir;2023-10-19;2025-06-10
S-YKE-246;020053009272;XIAOMI;Xiaomi 4 GO;2024-09-24;2026-05-17
S-IQG-427;018271479856;XIAOMI;Xiaomi Mi 3;2022-11-21;2024-07-13
S-BFG-624;074819170658;JOYOR;Adulte Joyor G5 Noir;2022-10-03;2024-05-25
S-OAX-399;057156613011;OKAI;Scooter électrique Okai ES20 Noir;2024-08-14;2026-04-06
S-UCU-012;087272327537;YEEP.ME;85 Signature - Autonomie 35km - AVEC CLIGNOTANTS;2025-10-24;2027-06-16
S-KOZ-609;018292770187;JOYOR;Joyor Y10 blanche;2024-09-04;2026-04-27
S-FUP-462;014545121570;UNAGI;Unagi Dual Motor;2022-11-13;2024-07-05
